load data...
Start train...
2022-01-19 12:50:49.621749 Epoch [012/200], Step [0253/0253], Total_loss: 2.0627 Loss1: 1.5855 Loss2: 0.4772
Epoch: 12, MAE: 0.04949611287391869, bestMAE: 0.043577873867361484, bestEpoch: 11.
2022-01-19 12:53:31.213733 Epoch [013/200], Step [0001/0253], Total_loss: 2.1084 Loss1: 1.6215 Loss2: 0.4869
2022-01-19 12:53:39.606884 Epoch [013/200], Step [0020/0253], Total_loss: 1.8527 Loss1: 1.4325 Loss2: 0.4202
2022-01-19 12:53:48.366818 Epoch [013/200], Step [0040/0253], Total_loss: 1.8793 Loss1: 1.4369 Loss2: 0.4424
2022-01-19 12:53:57.183403 Epoch [013/200], Step [0060/0253], Total_loss: 2.9017 Loss1: 2.2218 Loss2: 0.6798
2022-01-19 12:54:05.903017 Epoch [013/200], Step [0080/0253], Total_loss: 1.9145 Loss1: 1.4796 Loss2: 0.4349
2022-01-19 12:54:14.665873 Epoch [013/200], Step [0100/0253], Total_loss: 1.8676 Loss1: 1.4230 Loss2: 0.4445
2022-01-19 12:54:23.385092 Epoch [013/200], Step [0120/0253], Total_loss: 2.0844 Loss1: 1.5980 Loss2: 0.4865
2022-01-19 12:54:32.296964 Epoch [013/200], Step [0140/0253], Total_loss: 1.8699 Loss1: 1.4369 Loss2: 0.4330
2022-01-19 12:54:41.240443 Epoch [013/200], Step [0160/0253], Total_loss: 2.0007 Loss1: 1.5420 Loss2: 0.4587
2022-01-19 12:54:50.182873 Epoch [013/200], Step [0180/0253], Total_loss: 1.6724 Loss1: 1.2938 Loss2: 0.3786
2022-01-19 12:54:59.309064 Epoch [013/200], Step [0200/0253], Total_loss: 2.2064 Loss1: 1.6823 Loss2: 0.5241
2022-01-19 12:55:08.319825 Epoch [013/200], Step [0220/0253], Total_loss: 2.2443 Loss1: 1.7020 Loss2: 0.5423
2022-01-19 12:55:17.108098 Epoch [013/200], Step [0240/0253], Total_loss: 1.9207 Loss1: 1.4917 Loss2: 0.4291
2022-01-19 12:55:22.826361 Epoch [013/200], Step [0253/0253], Total_loss: 1.6120 Loss1: 1.2416 Loss2: 0.3704
Epoch: 13, MAE: 0.04388382495510684, bestMAE: 0.043577873867361484, bestEpoch: 11.
2022-01-19 12:58:04.696250 Epoch [014/200], Step [0001/0253], Total_loss: 1.6655 Loss1: 1.2845 Loss2: 0.3810
2022-01-19 12:58:15.834485 Epoch [014/200], Step [0020/0253], Total_loss: 1.7015 Loss1: 1.3135 Loss2: 0.3881
2022-01-19 12:58:24.547921 Epoch [014/200], Step [0040/0253], Total_loss: 1.8527 Loss1: 1.4181 Loss2: 0.4346
